"city","weather","visibility","temp","temp_min","temp_max","pressure","humidity","wind_speed","wind_deg","forecast_datetime","season"
"Seoul","Clouds",10000,27.57,26.95,27.57,1009,75,1.06,245,"2026-07-30 15:00:00","Autumn"
"Seoul","Clouds",10000,26.74,26.17,26.74,1009,82,0.87,221,"2026-07-30 18:00:00","Autumn"
"Seoul","Clear",10000,25.7,25.7,25.7,1009,90,1.06,217,"2026-07-30 21:00:00","Autumn"
"Seoul","Clear",10000,29.05,29.05,29.05,1009,69,1.86,250,"2026-07-31 00:00:00","Autumn"
"Seoul","Clear",10000,32.14,32.14,32.14,1008,52,3.72,261,"2026-07-31 03:00:00","Autumn"
"Seoul","Clear",10000,32.85,32.85,32.85,1006,52,4.47,260,"2026-07-31 06:00:00","Autumn"
"Seoul","Clear",10000,30.75,30.75,30.75,1006,65,4.71,249,"2026-07-31 09:00:00","Autumn"
"Seoul","Clouds",10000,28.5,28.5,28.5,1007,80,2.63,248,"2026-07-31 12:00:00","Autumn"
"Seoul","Clouds",10000,27.59,27.59,27.59,1007,86,1.5,218,"2026-07-31 15:00:00","Autumn"
"Seoul","Clouds",10000,27.01,27.01,27.01,1008,90,1.44,220,"2026-07-31 18:00:00","Autumn"
"Seoul","Clouds",10000,26.35,26.35,26.35,1008,92,1.43,192,"2026-07-31 21:00:00","Autumn"
"Seoul","Clouds",10000,29.51,29.51,29.51,1009,72,2.28,244,"2026-08-01 00:00:00","Autumn"
"Seoul","Rain",10000,32.53,32.53,32.53,1008,54,4.05,260,"2026-08-01 03:00:00","Autumn"
"Seoul","Clouds",10000,32.85,32.85,32.85,1006,54,4.87,265,"2026-08-01 06:00:00","Autumn"
"Seoul","Clear",10000,30.8,30.8,30.8,1007,63,4.55,266,"2026-08-01 09:00:00","Autumn"
"Seoul","Clear",10000,28.26,28.26,28.26,1008,74,2.17,265,"2026-08-01 12:00:00","Autumn"
"Seoul","Clouds",10000,27.21,27.21,27.21,1009,79,1.19,246,"2026-08-01 15:00:00","Autumn"
"Seoul","Clear",10000,26.3,26.3,26.3,1008,83,0.99,230,"2026-08-01 18:00:00","Autumn"
"Seoul","Clear",10000,25.8,25.8,25.8,1010,85,0.38,263,"2026-08-01 21:00:00","Autumn"
"Seoul","Clear",10000,29.89,29.89,29.89,1010,64,0.7,283,"2026-08-02 00:00:00","Autumn"
"Seoul","Clear",10000,34.34,34.34,34.34,1009,47,2.1,295,"2026-08-02 03:00:00","Autumn"
"Seoul","Clear",10000,34.94,34.94,34.94,1008,47,5.02,282,"2026-08-02 06:00:00","Autumn"
"Seoul","Clear",10000,32.61,32.61,32.61,1008,54,4.05,281,"2026-08-02 09:00:00","Autumn"
"Seoul","Clear",10000,29.39,29.39,29.39,1009,64,1.58,282,"2026-08-02 12:00:00","Autumn"
